job_title	post_url	company	location	summary
Software Engineer Intern	https://www.indeed.com/rc/clk?jk=59e9ed20cfd0836d&fccid=1d69e9a5b2cfbeca&vjs=3	Novetta	McLean, VA	Work with a diverse team of engineers, computer scientists, data scientist, and intelligence analysts. Develop strategies to extract, resolve, and unify...
Jr Software Developer	https://www.indeed.com/rc/clk?jk=80a9f10d7648d4a2&fccid=7eb2ae445322a9f5&vjs=3	Fusion Technology LLC	Alexandria, VA 22303	Identifying technical strategies to interconnect disparate software applications by authoring original software programs. The Software Developer II will:....
Software Engineering Intern	https://www.indeed.com/rc/clk?jk=5092a4bf2344c518&fccid=1d69e9a5b2cfbeca&vjs=3	Novetta	McLean, VA	Comfortable using source code version control software such as Git. Our products are focused on processing and analyzing vast amounts of data in these core...
Software Engineers	https://www.indeed.com/rc/clk?jk=a7f460cd6c212747&fccid=5f97070037022901&vjs=3	Lusso Tech	Reston, VA	Utilize SLDC, Oracle, ETL, Big Data, Apex, Data Integration, Agile, SQL, Dot Net & Java. Masters in Computer Science, Engineering, or related & 1 year...
Entry Level Electronics, Software & Telecommunications Paten...	https://www.indeed.com/rc/clk?jk=36ee28f346a8acb0&fccid=ce2b5e878831ac7d&vjs=3	Morrison & Foerster	Virginia	Strong technical background in electrical engineering, computer science or physics. Patent Prosecution Agent/Analyst – Electronics, Software &...
Software Development Intern	https://www.indeed.com/rc/clk?jk=020f317e6a0aabe5&fccid=9ab933a50b7d7a98&vjs=3	Radiant Solutions	Herndon, VA	Radiant Solutions is seeking a Software Development Intern for the summer of 2019 to work as part of a team responsible for the development of new software and...
Graduate Software Intern - Summer 2019 - Linked Data	https://www.indeed.com/rc/clk?jk=1a6e7d18fa2e8d23&fccid=aa53b551f9df0210&vjs=3	Raytheon	Rosslyn, VA	Interest in Data Science or Linked Data. Current Senior or Grad student pursuing a Master’s degree in Computer Science, Systems Engineering, Applied Mathematics...
Software Engineer – Applications and Integration	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dhy1Dp6ZJOto93m1fOhOOCdBuJI3jFIn9Y_DpAGA8MglLIXhbP0M5wM36pFLcfeMAMSMGr2ZeFtvofik51xBWkYKb7_wMP3k0eVnJYaLM8IoijNNnwbvO0Vtaafro47vqeLwFcbQzzTQulLsWU_BF9HbrqWsC5C5GcA81EUmTs5M_nYaP3Hl1_FoM7OQjupyb8sLu71C_-xfcE_i6OnTIkgWftN1aM8Ah0tSS1aJ0HedLav9SRSUlGZNtxnA0Yr4nmdFm0QksdXdKg05OTUhL5B90nwCC-MyKkObJKI3s2VOxTsRRiuevOsymkRah2A6mqtcgA2Mq05dMS5Ob81nK7TY0nxS6tK_l9_tWMwRVKQfd41IFr0_YPREZ9LzXvB4433DlhXki7aIgwgncst03lyFVs_xeracbn3aa-1SKOHFmcL2kdbm1-I8uvx0-E3C6vuyaWFrHquzph68rnZCezoouHE7MWss3ub9mLVZD1ZIegNObZ5SyK9_cbb-5sgcqFu3bDlWsaTRlhlQJb0BrF&vjs=3&p=8&fvj=1	HealthSavings Administrators	Richmond, VA	Data Integrations, ETL and Data Lake:. Knowledge of Data Integrations, ETL and Data Lake (Matillion and Snowflake highly preferred)....
Intuit Customer Service and Tech Support	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWcekRklOJqqo_LUbT2f6_FtWhelbDasQPy51a8c3UT98KKwhIee41SqdyrliIMbAmH_LlSqVjy9S3_ouCklUSJCaPuMQV_jNdrqW-TD_Gz8YTtHmEt_xn_5ylkCM56UW3CPngPgKo9QjTGL_XnVNwHrvtX2_p6WCC2smNhdXuU60rno_bZalp5e_4DArYFf2F413kDYONyqVQ6EvV9Gx5jjBVW8Ol2iC2suytkmjfI6ykaxagC3A9T4YWEcIv2sMZ4C2gSssb7wY124gMWdcuUP2ArZ4Rho4CrQ6IYT4EYP7pUf1LjWszRJx13bIFPCTZwy3pcpKLA8ZbR1-zLb4ToSgcoia5F1GW-WIDGSWd09N8zATRjQZXjhmMIlaiKFouMjhREleGf2SWBtiw2sz7QeliSAzQOSfGt46NGbwYqJTMwHsDIU6nQ-M6Ui6F5Z06F_0dSDqbmWAjO3bYluepP-FV0OdWrV0Ktx1XHEMP3hXfC9kBtZ_m0DvsqNYU0sQcbyPrh38IfSeNeeu2welI-fsMSPBkZ_6gQnbSHnelRrqBheDPqqkT4IWlpVEjo12i1RCqP9tzpXbSc3q_4YV63Np9bFO7aLDUIn6rWQqGOz75miVCxEfSwQhD9x0NEw6SvnHZHNElmw==&vjs=3&p=9&fvj=0	Sykes	Wise, VA	Including hardware, software and networking. Be part of a team dedicated to helping Small Businesses succeed in running their business!...
Software Solutions Engineer	https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BuERs4vKM_UujizpxTIszzJ8BzSctqDhDTokIjJbkW7my6UnFU3a22aKGlEKH1gDs7MSroftDzS_FQ7fNe1e-EotG_sE9P90Wf6ZjZgdUN3Kpp3ns_0VVU67mr3pkqJTYcx6jIyzyJX0nyYqpLM4mHjLqMnLIx4woVyR0iMKvVuH1V4qvc3vPmQF4mjFQVBz8vofHEc1mnJtHCcX_DZug1VUA9CywFNCQn_IWY5TOAYoYwoJSw2Juyv_wGYmDLblQlopOiXxODXIjS4RreO0exy6-e5zco3Xsc7bjjl3mpg4ryjya3_FpqmVxptnCspNXWB4Z6mGat3J5Icsuezkw9TTRpcpUaSpnXpoRH_XNhqx3xlDCmM_4vZz4F7-cGBn5KKhIca9trVVFVeftCxC9-qupT7qIIAOMO2c5WGV8SCuzSqpPQJgjwHZ4T6LiCk7Zf4Wl2-fiKOqfTFWwUlJbJC9CebC7mvyKPsCK9-8YWTOkrgjlLwzf3lRQdPlV4AWM=&vjs=3&p=1&fvj=1	ChartIQ	Charlottesville, VA	Software development in the Financial services industry. ChartIQ is seeking a skilled software developer to join our Client Success team....
