ID, 1011, computer, programming, tech, software, data, information  job data saved!
ID, 1008, computer, programming, tech, software, data, information  job data saved!
ID, 1008, computer, programming, tech, software, data, information  job data saved!
ID, 1003, computer, programming, tech, software, data, information  job data saved!
ID, 1005, computer, programming, tech, software, data, information  job data saved!
ID, 1011, computer, programming, tech, software, data, information  job data saved!
ID, 1003, computer, programming, tech, software, data, information  job data saved!
ID, 1001, computer, programming, tech, software, data, information  job data saved!
ID, 1002, computer, programming, tech, software, data, information  job data saved!
ID, 1012, computer, programming, tech, software, data, information  job data saved!
ID, 1009, computer, programming, tech, software, data, information  job data saved!
ID, 1010, computer, programming, tech, software, data, information  job data saved!
ID, 1008, computer, programming, tech, software, data, information  job data saved!
ID, 1007, computer, programming, tech, software, data, information  job data saved!
ID, 1002, computer, programming, tech, software, data, information  job data saved!
ID, 1002, computer, programming, tech, software, data, information  job data saved!
ID, 1012, computer, programming, tech, software, data, information  job data saved!
ID, 279, computer, programming, tech, software, data, information  job data saved!
COMPLETED JOB SCRAPING: computer, programming, tech, software, data, information ID

ME, 1012, computer, programming, tech, software, data, information  job data saved!
ME, 1004, computer, programming, tech, software, data, information  job data saved!
ME, 1001, computer, programming, tech, software, data, information  job data saved!
ME, 1004, computer, programming, tech, software, data, information  job data saved!
ME, 1012, computer, programming, tech, software, data, information  job data saved!
ME, 1007, computer, programming, tech, software, data, information  job data saved!
ME, 1010, computer, programming, tech, software, data, information  job data saved!
ME, 1003, computer, programming, tech, software, data, information  job data saved!
ME, 1006, computer, programming, tech, software, data, information  job data saved!
ME, 1003, computer, programming, tech, software, data, information  job data saved!
ME, 1012, computer, programming, tech, software, data, information  job data saved!
ME, 1010, computer, programming, tech, software, data, information  job data saved!
ME, 1010, computer, programming, tech, software, data, information  job data saved!
ME, 1007, computer, programming, tech, software, data, information  job data saved!
ME, 1007, computer, programming, tech, software, data, information  job data saved!
ME, 1001, computer, programming, tech, software, data, information  job data saved!
ME, 1001, computer, programming, tech, software, data, information  job data saved!
ME, 1001, computer, programming, tech, software, data, information  job data saved!
ME, 1005, computer, programming, tech, software, data, information  job data saved!
ME, 1006, computer, programming, tech, software, data, information  job data saved!
ME, 1008, computer, programming, tech, software, data, information  job data saved!
ME, 1007, computer, programming, tech, software, data, information  job data saved!
ME, 1007, computer, programming, tech, software, data, information  job data saved!
ME, 1001, computer, programming, tech, software, data, information  job data saved!
ME, 1008, computer, programming, tech, software, data, information  job data saved!
ME, 1007, computer, programming, tech, software, data, information  job data saved!
ME, 1005, computer, programming, tech, software, data, information  job data saved!
ME, 1005, computer, programming, tech, software, data, information  job data saved!
ME, 1005, computer, programming, tech, software, data, information  job data saved!
ME, 1013, computer, programming, tech, software, data, information  job data saved!
ME, 1006, computer, programming, tech, software, data, information  job data saved!
ME, 1009, computer, programming, tech, software, data, information  job data saved!
ME, 1005, computer, programming, tech, software, data, information  job data saved!
ME, 1009, computer, programming, tech, software, data, information  job data saved!
ME, 1006, computer, programming, tech, software, data, information  job data saved!
ME, 1012, computer, programming, tech, software, data, information  job data saved!
ME, 1003, computer, programming, tech, software, data, information  job data saved!
ME, 1004, computer, programming, tech, software, data, information  job data saved!
ME, 1012, computer, programming, tech, software, data, information  job data saved!
ME, 1008, computer, programming, tech, software, data, information  job data saved!
ME, 1004, computer, programming, tech, software, data, information  job data saved!
ME, 1013, computer, programming, tech, software, data, information  job data saved!
ME, 1001, computer, programming, tech, software, data, information  job data saved!
ME, 1004, computer, programming, tech, software, data, information  job data saved!
ME, 1006, computer, programming, tech, software, data, information  job data saved!
ME, 1006, computer, programming, tech, software, data, information  job data saved!
ME, 1002, computer, programming, tech, software, data, information  job data saved!
ME, 1010, computer, programming, tech, software, data, information  job data saved!
ME, 1007, computer, programming, tech, software, data, information  job data saved!
ME, 1004, computer, programming, tech, software, data, information  job data saved!
ME, 1001, computer, programming, tech, software, data, information  job data saved!
ME, 723, computer, programming, tech, software, data, information  job data saved!
COMPLETED JOB SCRAPING: computer, programming, tech, software, data, information ME

ND, 1010, computer, programming, tech, software, data, information  job data saved!
ND, 1006, computer, programming, tech, software, data, information  job data saved!
ND, 1007, computer, programming, tech, software, data, information  job data saved!
ND, 1004, computer, programming, tech, software, data, information  job data saved!
ND, 1003, computer, programming, tech, software, data, information  job data saved!
ND, 1007, computer, programming, tech, software, data, information  job data saved!
ND, 1013, computer, programming, tech, software, data, information  job data saved!
ND, 1011, computer, programming, tech, software, data, information  job data saved!
ND, 1004, computer, programming, tech, software, data, information  job data saved!
ND, 1003, computer, programming, tech, software, data, information  job data saved!
ND, 1011, computer, programming, tech, software, data, information  job data saved!
ND, 1012, computer, programming, tech, software, data, information  job data saved!
ND, 1003, computer, programming, tech, software, data, information  job data saved!
ND, 1001, computer, programming, tech, software, data, information  job data saved!
ND, 1012, computer, programming, tech, software, data, information  job data saved!
ND, 1010, computer, programming, tech, software, data, information  job data saved!
ND, 1011, computer, programming, tech, software, data, information  job data saved!
ND, 1002, computer, programming, tech, software, data, information  job data saved!
ND, 1010, computer, programming, tech, software, data, information  job data saved!
ND, 1011, computer, programming, tech, software, data, information  job data saved!
ND, 1012, computer, programming, tech, software, data, information  job data saved!
ND, 1008, computer, programming, tech, software, data, information  job data saved!
ND, 1006, computer, programming, tech, software, data, information  job data saved!
ND, 1001, computer, programming, tech, software, data, information  job data saved!
ND, 1006, computer, programming, tech, software, data, information  job data saved!
